original_proximity,filtered_proximity,slip,task_failure
735.46,735.82,0.0,0.0
736.92,735.83,0.0,0.0
735.77,735.84,0.0,0.0
736.09,735.84,0.0,0.0
736.31,735.85,0.0,0.0
736.24,735.85,0.0,0.0
735.53,735.84,0.0,0.0
735.52,735.84,0.0,0.0
734.78,735.83,0.0,0.0
735.18,735.82,0.0,0.0
735.54,735.81,0.0,0.0
737.03,735.8,0.0,0.0
736.08,735.78,0.0,0.0
735.44,735.77,0.0,0.0
736.37,735.75,0.0,0.0
736.4,735.74,0.0,0.0
735.36,735.72,0.0,0.0
734.38,735.71,0.0,0.0
736.32,735.7,0.0,0.0
735.71,735.69,0.0,0.0
735.83,735.67,0.0,0.0
735.28,735.66,0.0,0.0
734.41,735.66,0.0,0.0
736.28,735.65,0.0,0.0
737.83,735.64,0.0,0.0
733.96,735.64,0.0,0.0
735.42,735.63,0.0,0.0
735.32,735.63,0.0,0.0
735.22,735.63,0.0,0.0
736.44,735.63,0.0,0.0
735.37,735.64,0.0,0.0
736.33,735.64,0.0,0.0
735.59,735.66,0.0,0.0
734.31,735.67,0.0,0.0
736.28,735.68,0.0,0.0
735.41,735.69,0.0,0.0
734.95,735.71,0.0,0.0
736.06,735.72,0.0,0.0
736.61,735.74,0.0,0.0
735.64,735.76,0.0,0.0
735.43,735.78,0.0,0.0
735.12,735.79,0.0,0.0
736.61,735.81,0.0,0.0
735.54,735.83,0.0,0.0
736.69,735.85,0.0,0.0
736.58,735.86,0.0,0.0
736.16,735.88,0.0,0.0
735.75,735.89,0.0,0.0
736.72,735.9,0.0,0.0
734.52,735.91,0.0,0.0
733.89,735.92,0.0,0.0
735.58,735.93,0.0,0.0
737.29,735.93,0.0,0.0
736.72,735.93,0.0,0.0
737.45,735.94,0.0,0.0
735.85,735.94,0.0,0.0
734.5,735.93,0.0,0.0
736.06,735.93,0.0,0.0
736.83,735.93,0.0,0.0
736.07,735.92,0.0,0.0
735.53,735.91,0.0,0.0
735.47,735.91,0.0,0.0
735.14,735.9,0.0,0.0
736.65,735.89,0.0,0.0
735.93,735.88,0.0,0.0
735.8,735.87,0.0,0.0
735.68,735.86,0.0,0.0
735.79,735.86,0.0,0.0
736.13,735.85,0.0,0.0
735.56,735.85,0.0,0.0
736.96,735.84,0.0,0.0
735.47,735.84,0.0,0.0
735.75,735.84,0.0,0.0
734.81,735.84,0.0,0.0
736.57,735.84,0.0,0.0
734.91,735.85,0.0,0.0
735.95,735.85,0.0,0.0
734.65,735.85,0.0,0.0
735.99,735.86,0.0,0.0
736.24,735.86,0.0,0.0
737.49,735.86,0.0,0.0
734.72,735.87,0.0,0.0
736.36,735.87,0.0,0.0
736.15,735.87,0.0,0.0
736.14,735.87,0.0,0.0
737.08,735.88,0.0,0.0
735.64,735.88,0.0,0.0
735.19,735.89,0.0,0.0
735.75,735.9,0.0,0.0
736.29,735.9,0.0,0.0
734.85,735.91,0.0,0.0
735.68,735.91,0.0,0.0
735.57,735.92,0.0,0.0
736.4,735.92,0.0,0.0
735.79,735.93,0.0,0.0
735.36,735.94,0.0,0.0
736.05,735.94,0.0,0.0
736.06,735.95,0.0,0.0
736.55,735.95,0.0,0.0
736.35,735.96,0.0,0.0
735.52,735.96,0.0,0.0
736.12,735.97,0.0,0.0
737.49,735.98,0.0,0.0
734.7,736.0,0.0,0.0
736.17,736.01,0.0,0.0
735.81,736.02,0.0,0.0
735.98,736.03,0.0,0.0
736.0,736.03,0.0,0.0
736.15,736.03,0.0,0.0
736.36,736.03,0.0,0.0
736.01,736.03,0.0,0.0
736.05,736.02,0.0,0.0
735.15,736.0,0.0,0.0
736.55,735.99,0.0,0.0
735.31,735.97,0.0,0.0
736.33,735.95,0.0,0.0
736.37,735.93,0.0,0.0
736.98,735.9,0.0,0.0
736.26,735.88,0.0,0.0
736.95,735.86,0.0,0.0
735.48,735.84,0.0,0.0
735.94,735.81,0.0,0.0
734.49,735.79,0.0,0.0
735.1,735.78,0.0,0.0
735.26,735.76,0.0,0.0
735.6,735.75,0.0,0.0
735.09,735.74,0.0,0.0
735.07,735.74,0.0,0.0
736.14,735.74,0.0,0.0
735.54,735.75,0.0,0.0
736.41,735.75,0.0,0.0
735.05,735.76,0.0,0.0
735.37,735.78,0.0,0.0
735.38,735.79,0.0,0.0
736.43,735.8,0.0,0.0
736.18,735.81,0.0,0.0
736.75,735.83,0.0,0.0
735.49,735.84,0.0,0.0
735.11,735.84,0.0,0.0
736.71,735.85,0.0,0.0
736.0,735.85,0.0,0.0
736.59,735.85,0.0,0.0
735.81,735.85,0.0,0.0
737.29,735.85,0.0,0.0
736.29,735.84,0.0,0.0
737.67,735.83,0.0,0.0
733.24,735.83,0.0,0.0
734.48,735.82,0.0,0.0
736.38,735.81,0.0,0.0
735.25,735.81,0.0,0.0
735.23,735.81,0.0,0.0
734.47,735.81,0.0,0.0
736.44,735.81,0.0,0.0
735.01,735.81,0.0,0.0
735.95,735.81,0.0,0.0
735.12,735.82,0.0,0.0
735.88,735.83,0.0,0.0
735.91,735.83,0.0,0.0
737.51,735.84,0.0,0.0
736.24,735.85,0.0,0.0
736.63,735.85,0.0,0.0
735.69,735.86,0.0,0.0
737.59,735.87,0.0,0.0
735.58,735.88,0.0,0.0
734.34,735.88,0.0,0.0
735.58,735.88,0.0,0.0
735.93,735.89,0.0,0.0
736.92,735.89,0.0,0.0
736.17,735.88,0.0,0.0
735.83,735.88,0.0,0.0
734.88,735.87,0.0,0.0
735.49,735.86,0.0,0.0
735.53,735.84,0.0,0.0
735.97,735.83,0.0,0.0
734.48,735.82,0.0,0.0
736.36,735.81,0.0,0.0
736.0,735.79,0.0,0.0
736.51,735.78,0.0,0.0
735.81,735.78,0.0,0.0
735.77,735.77,0.0,0.0
736.35,735.76,0.0,0.0
736.42,735.76,0.0,0.0
734.97,735.76,0.0,0.0
735.75,735.76,0.0,0.0
736.37,735.76,0.0,0.0
735.88,735.77,0.0,0.0
735.07,735.77,0.0,0.0
734.52,735.78,0.0,0.0
735.99,735.79,0.0,0.0
734.69,735.81,0.0,0.0
736.17,735.82,0.0,0.0
736.25,735.84,0.0,0.0
736.18,735.85,0.0,0.0
735.55,735.87,0.0,0.0
735.85,735.88,0.0,0.0
735.27,735.9,0.0,0.0
735.62,735.91,0.0,0.0
736.86,735.93,0.0,0.0
736.4,735.95,0.0,0.0
736.68,735.96,0.0,0.0
736.5,735.97,0.0,0.0
735.97,735.98,0.0,0.0
735.67,735.98,0.0,0.0
736.53,735.99,0.0,0.0
736.33,735.98,0.0,0.0
735.47,735.98,0.0,0.0
736.17,735.97,0.0,0.0
736.37,735.96,0.0,0.0
735.37,735.94,0.0,0.0
735.69,735.92,0.0,0.0
735.87,735.9,0.0,0.0
735.85,735.88,0.0,0.0
735.55,735.85,0.0,0.0
735.91,735.83,0.0,0.0
736.22,735.8,0.0,0.0
735.88,735.77,0.0,0.0
735.76,735.74,0.0,0.0
734.88,735.71,0.0,0.0
736.13,735.68,0.0,0.0
735.9,735.65,0.0,0.0
735.48,735.63,0.0,0.0
735.26,735.6,0.0,0.0
736.23,735.57,0.0,0.0
735.53,735.55,0.0,0.0
734.82,735.53,0.0,0.0
736.21,735.51,0.0,0.0
734.94,735.5,0.0,0.0
735.3,735.49,0.0,0.0
735.86,735.48,0.0,0.0
736.05,735.47,0.0,0.0
734.24,735.47,0.0,0.0
735.02,735.47,0.0,0.0
734.64,735.48,0.0,0.0
734.83,735.49,0.0,0.0
735.24,735.5,0.0,0.0
735.41,735.51,0.0,0.0
735.79,735.53,0.0,0.0
736.23,735.55,0.0,0.0
735.49,735.57,0.0,0.0
736.76,735.59,0.0,0.0
735.96,735.61,0.0,0.0
736.07,735.63,0.0,0.0
735.44,735.65,0.0,0.0
734.51,735.67,0.0,0.0
735.59,735.69,0.0,0.0
736.0,735.7,0.0,0.0
736.2,735.71,0.0,0.0
736.25,735.72,0.0,0.0
735.96,735.73,0.0,0.0
736.09,735.73,0.0,0.0
736.33,735.73,0.0,0.0
735.47,735.73,0.0,0.0
734.82,735.72,0.0,0.0
735.17,735.71,0.0,0.0
735.78,735.69,0.0,0.0
735.71,735.68,0.0,0.0
735.42,735.66,0.0,0.0
736.29,735.64,0.0,0.0
735.31,735.61,0.0,0.0
735.82,735.59,0.0,0.0
735.28,735.57,0.0,0.0
736.48,735.54,0.0,0.0
735.05,735.52,0.0,0.0
736.74,735.5,0.0,0.0
735.59,735.48,0.0,0.0
735.64,735.47,0.0,0.0
734.27,735.46,0.0,0.0
737.34,735.45,0.0,0.0
732.52,735.44,0.0,0.0
733.43,735.43,0.0,0.0
736.11,735.43,0.0,0.0
734.84,735.43,0.0,0.0
737.23,735.43,0.0,0.0
734.54,735.44,0.0,0.0
735.85,735.44,0.0,0.0
734.29,735.45,0.0,0.0
736.04,735.46,0.0,0.0
734.78,735.48,0.0,0.0
735.99,735.49,0.0,0.0
736.99,735.51,0.0,0.0
736.29,735.53,0.0,0.0
736.09,735.55,0.0,0.0
735.53,735.56,0.0,0.0
734.82,735.58,0.0,0.0
734.72,735.59,0.0,0.0
735.32,735.6,0.0,0.0
735.35,735.61,0.0,0.0
735.59,735.61,0.0,0.0
736.12,735.61,0.0,0.0
735.93,735.61,0.0,0.0
736.03,735.61,0.0,0.0
736.37,735.6,0.0,0.0
734.32,735.6,0.0,0.0
736.43,735.59,0.0,0.0
736.5,735.59,0.0,0.0
736.0,735.58,0.0,0.0
735.01,735.57,0.0,0.0
734.45,735.57,0.0,0.0
735.39,735.56,0.0,0.0
734.55,735.56,0.0,0.0
735.0,735.55,0.0,0.0
736.24,735.55,0.0,0.0
735.75,735.54,0.0,0.0
736.11,735.53,0.0,0.0
735.49,735.53,0.0,0.0
734.39,735.52,0.0,0.0
736.85,735.5,0.0,0.0
736.16,735.49,0.0,0.0
735.18,735.48,0.0,0.0
735.65,735.46,0.0,0.0
736.11,735.45,0.0,0.0
735.26,735.43,0.0,0.0
734.21,735.41,0.0,0.0
735.44,735.39,0.0,0.0
735.16,735.37,0.0,0.0
735.89,735.34,0.0,0.0
735.63,735.31,0.0,0.0
735.17,735.29,0.0,0.0
735.58,735.26,0.0,0.0
735.76,735.23,0.0,0.0
735.06,735.2,0.0,0.0
734.44,735.18,0.0,0.0
734.3,735.15,0.0,0.0
735.01,735.14,0.0,0.0
734.91,735.12,0.0,0.0
735.55,735.11,0.0,0.0
734.78,735.1,0.0,0.0
735.36,735.1,0.0,0.0
734.78,735.1,0.0,0.0
734.39,735.11,0.0,0.0
734.64,735.11,0.0,0.0
735.15,735.12,0.0,0.0
734.63,735.13,0.0,0.0
735.4,735.15,0.0,0.0
736.2,735.16,0.0,0.0
734.83,735.18,0.0,0.0
735.32,735.2,0.0,0.0
736.18,735.22,0.0,0.0
734.96,735.24,0.0,0.0
735.09,735.26,0.0,0.0
735.11,735.28,0.0,0.0
735.58,735.31,0.0,0.0
735.05,735.33,0.0,0.0
736.06,735.35,0.0,0.0
735.82,735.37,0.0,0.0
734.31,735.38,0.0,0.0
734.71,735.4,0.0,0.0
736.1,735.41,0.0,0.0
735.6,735.42,0.0,0.0
734.98,735.43,0.0,0.0
735.65,735.44,0.0,0.0
734.4,735.45,0.0,0.0
736.71,735.46,0.0,0.0
736.65,735.47,0.0,0.0
735.18,735.48,0.0,0.0
735.36,735.49,0.0,0.0
736.32,735.51,0.0,0.0
733.94,735.52,0.0,0.0
736.27,735.53,0.0,0.0
735.97,735.54,0.0,0.0
734.96,735.54,0.0,0.0
734.97,735.55,0.0,0.0
735.2,735.56,0.0,0.0
735.21,735.57,0.0,0.0
734.8,735.58,0.0,0.0
736.52,735.58,0.0,0.0
736.02,735.59,0.0,0.0
736.16,735.6,0.0,0.0
735.39,735.6,0.0,0.0
736.79,735.6,0.0,0.0
736.47,735.6,0.0,0.0
735.45,735.6,0.0,0.0
735.64,735.61,0.0,0.0
734.4,735.61,0.0,0.0
734.01,735.61,0.0,0.0
735.53,735.6,0.0,0.0
736.09,735.6,0.0,0.0
736.29,735.6,0.0,0.0
735.79,735.6,0.0,0.0
736.2,735.59,0.0,0.0
735.74,735.59,0.0,0.0
735.65,735.58,0.0,0.0
735.37,735.58,0.0,0.0
735.27,735.58,0.0,0.0
734.87,735.58,0.0,0.0
735.96,735.58,0.0,0.0
734.08,735.59,0.0,0.0
735.85,735.59,0.0,0.0
735.99,735.6,0.0,0.0
737.07,735.61,0.0,0.0
734.63,735.62,0.0,0.0
735.62,735.62,0.0,0.0
736.09,735.63,0.0,0.0
735.24,735.63,0.0,0.0
734.85,735.63,0.0,0.0
735.8,735.63,0.0,0.0
735.99,735.63,0.0,0.0
736.05,735.64,0.0,0.0
736.72,735.64,0.0,0.0
735.24,735.65,0.0,0.0
735.73,735.65,0.0,0.0
735.85,735.66,0.0,0.0
735.83,735.67,0.0,0.0
736.53,735.68,0.0,0.0
734.45,735.68,0.0,0.0
735.21,735.69,0.0,0.0
735.92,735.69,0.0,0.0
733.38,735.7,0.0,0.0
736.2,735.7,0.0,0.0
735.51,735.71,0.0,0.0
735.43,735.71,0.0,0.0
736.3,735.72,0.0,0.0
736.14,735.72,0.0,0.0
736.33,735.73,0.0,0.0
736.41,735.73,0.0,0.0
736.59,735.74,0.0,0.0
736.21,735.75,0.0,0.0
737.04,735.75,0.0,0.0
733.77,735.76,0.0,0.0
735.42,735.77,0.0,0.0
736.03,735.78,0.0,0.0
734.84,735.79,0.0,0.0
735.37,735.8,0.0,0.0
736.52,735.81,0.0,0.0
734.75,735.82,0.0,0.0
735.64,735.82,0.0,0.0
736.15,735.83,0.0,0.0
735.88,735.84,0.0,0.0
736.19,735.85,0.0,0.0
735.81,735.86,0.0,0.0
736.09,735.87,0.0,0.0
735.5,735.89,0.0,0.0
736.86,735.9,0.0,0.0
735.92,735.92,0.0,0.0
736.2,735.94,0.0,0.0
735.75,735.95,0.0,0.0
735.17,735.97,0.0,0.0
736.69,735.98,0.0,0.0
735.95,735.99,0.0,0.0
735.38,735.99,0.0,0.0
736.49,736.0,0.0,0.0
735.64,735.99,0.0,0.0
736.68,735.99,0.0,0.0
736.55,735.98,0.0,0.0
735.99,735.96,0.0,0.0
736.11,735.95,0.0,0.0
735.59,735.93,0.0,0.0
737.17,735.91,0.0,0.0
735.69,735.89,0.0,0.0
735.22,735.87,0.0,0.0
734.93,735.85,0.0,0.0
736.33,735.83,0.0,0.0
736.33,735.82,0.0,0.0
735.22,735.8,0.0,0.0
735.55,735.79,0.0,0.0
735.95,735.78,0.0,0.0
736.25,735.78,0.0,0.0
735.23,735.78,0.0,0.0
734.98,735.78,0.0,0.0
735.04,735.79,0.0,0.0
735.18,735.81,0.0,0.0
734.96,735.83,0.0,0.0
736.16,735.85,0.0,0.0
736.24,735.88,0.0,0.0
736.66,735.91,0.0,0.0
736.38,735.94,0.0,0.0
736.85,735.97,0.0,0.0
734.73,736.0,0.0,0.0
736.08,736.04,0.0,0.0
736.15,736.07,0.0,0.0
736.33,736.1,0.0,0.0
736.77,736.12,0.0,0.0
735.81,736.15,0.0,0.0
736.78,736.17,0.0,0.0
736.88,736.18,0.0,0.0
736.42,736.19,0.0,0.0
735.32,736.2,0.0,0.0
737.4,736.2,0.0,0.0
736.27,736.2,0.0,0.0
735.83,736.19,0.0,0.0
736.23,736.17,0.0,0.0
735.18,736.16,0.0,0.0
736.59,736.14,0.0,0.0
736.44,736.12,0.0,0.0
736.22,736.1,0.0,0.0
736.0,736.08,0.0,0.0
737.32,736.07,0.0,0.0
735.31,736.05,0.0,0.0
736.19,736.04,0.0,0.0
734.63,736.03,0.0,0.0
736.01,736.01,0.0,0.0
734.99,736.0,0.0,0.0
736.78,735.99,0.0,0.0
735.16,735.98,0.0,0.0
736.49,735.97,0.0,0.0
735.66,735.97,0.0,0.0
736.22,735.97,0.0,0.0
734.95,735.97,0.0,0.0
736.65,735.97,0.0,0.0
736.42,735.98,0.0,0.0
737.0,735.99,0.0,0.0
736.66,736.01,0.0,0.0
736.45,736.03,0.0,0.0
735.56,736.05,0.0,0.0
735.61,736.07,0.0,0.0
735.55,736.09,0.0,0.0
735.13,736.12,0.0,0.0
734.59,736.14,0.0,0.0
735.5,736.16,0.0,0.0
736.82,736.18,0.0,0.0
736.56,736.19,0.0,0.0
735.43,736.2,0.0,0.0
735.92,736.21,0.0,0.0
741.49,736.21,0.0,0.0
735.76,736.22,0.0,0.0
735.72,736.22,0.0,0.0
736.41,736.22,0.0,0.0
736.15,736.21,0.0,0.0
737.11,736.21,0.0,0.0
736.23,736.2,0.0,0.0
736.51,736.19,0.0,0.0
735.62,736.18,0.0,0.0
734.77,736.16,0.0,0.0
736.18,736.14,0.0,0.0
735.57,736.11,0.0,0.0
735.82,736.09,0.0,0.0
734.87,736.06,0.0,0.0
736.52,736.03,0.0,0.0
736.31,735.99,0.0,0.0
736.5,735.96,0.0,0.0
737.13,735.93,0.0,0.0
735.17,735.9,0.0,0.0
736.64,735.87,0.0,0.0
736.56,735.85,0.0,0.0
734.81,735.83,0.0,0.0
735.27,735.81,0.0,0.0
736.37,735.79,0.0,0.0
735.24,735.77,0.0,0.0
735.01,735.75,0.0,0.0
735.39,735.74,0.0,0.0
736.22,735.72,0.0,0.0
735.81,735.71,0.0,0.0
735.62,735.7,0.0,0.0
736.29,735.69,0.0,0.0
734.87,735.68,0.0,0.0
734.61,735.67,0.0,0.0
735.49,735.67,0.0,0.0
736.34,735.67,0.0,0.0
735.55,735.67,0.0,0.0
735.89,735.67,0.0,0.0
736.07,735.67,0.0,0.0
736.4,735.67,0.0,0.0
735.15,735.68,0.0,0.0
735.24,735.68,0.0,0.0
734.9,735.68,0.0,0.0
735.96,735.68,0.0,0.0
735.72,735.67,0.0,0.0
735.94,735.67,0.0,0.0
736.17,735.66,0.0,0.0
736.43,735.66,0.0,0.0
735.79,735.65,0.0,0.0
736.6,735.65,0.0,0.0
735.23,735.65,0.0,0.0
734.75,735.64,0.0,0.0
735.13,735.64,0.0,0.0
735.84,735.63,0.0,0.0
735.92,735.63,0.0,0.0
734.46,735.62,0.0,0.0
736.1,735.62,0.0,0.0
734.56,735.62,0.0,0.0
735.71,735.61,0.0,0.0
735.08,735.62,0.0,0.0
734.73,735.62,0.0,0.0
736.42,735.62,0.0,0.0
736.97,735.63,0.0,0.0
736.06,735.64,0.0,0.0
736.24,735.65,0.0,0.0
736.9,735.66,0.0,0.0
735.01,735.68,0.0,0.0
735.57,735.7,0.0,0.0
733.68,735.72,0.0,0.0
735.95,735.73,0.0,0.0
734.78,735.75,0.0,0.0
735.84,735.77,0.0,0.0
735.64,735.78,0.0,0.0
736.52,735.8,0.0,0.0
735.98,735.81,0.0,0.0
735.55,735.81,0.0,0.0
737.09,735.82,0.0,0.0
735.19,735.82,0.0,0.0
737.08,735.83,0.0,0.0
736.16,735.83,0.0,0.0
735.96,735.84,0.0,0.0
735.11,735.85,0.0,0.0
735.93,735.86,0.0,0.0
735.66,735.87,0.0,0.0
736.06,735.89,0.0,0.0
735.91,735.9,0.0,0.0
735.92,735.92,0.0,0.0
735.63,735.93,0.0,0.0
735.72,735.94,0.0,0.0
735.33,735.95,0.0,0.0
734.95,735.96,0.0,0.0
735.33,735.97,0.0,0.0
735.39,735.97,0.0,0.0
737.1,735.98,0.0,0.0
736.27,735.98,0.0,0.0
737.73,735.99,0.0,0.0
736.96,735.99,0.0,0.0
736.32,735.99,0.0,0.0
736.36,735.99,0.0,0.0
736.35,736.0,0.0,0.0
735.28,736.0,0.0,0.0
736.19,736.0,0.0,0.0
735.7,736.0,0.0,0.0
735.27,736.0,0.0,0.0
736.21,736.0,0.0,0.0
735.62,735.99,0.0,0.0
735.96,735.99,0.0,0.0
734.64,735.99,0.0,0.0
735.57,735.98,0.0,0.0
735.44,735.98,0.0,0.0
736.68,735.98,0.0,0.0
736.45,735.98,0.0,0.0
735.63,735.98,0.0,0.0
736.28,735.98,0.0,0.0
737.69,735.99,0.0,0.0
735.83,735.99,0.0,0.0
735.62,736.0,0.0,0.0
736.3,736.01,0.0,0.0
735.99,736.02,0.0,0.0
735.92,736.02,0.0,0.0
735.5,736.02,0.0,0.0
735.96,736.03,0.0,0.0
734.85,736.03,0.0,0.0
739.1,736.03,0.0,0.0
734.5,736.03,0.0,0.0
735.61,736.03,0.0,0.0
736.33,736.03,0.0,0.0
735.98,736.03,0.0,0.0
736.61,736.03,0.0,0.0
736.2,736.02,0.0,0.0
735.98,736.02,0.0,0.0
735.35,736.02,0.0,0.0
735.53,736.02,0.0,0.0
734.83,736.02,0.0,0.0
736.95,736.02,0.0,0.0
735.29,736.02,0.0,0.0
736.73,736.02,0.0,0.0
736.92,736.02,0.0,0.0
736.74,736.02,0.0,0.0
736.06,736.02,0.0,0.0
735.65,736.02,0.0,0.0
735.69,736.02,0.0,0.0
736.35,736.02,0.0,0.0
736.53,736.01,0.0,0.0
735.2,736.01,0.0,0.0
735.58,736.01,0.0,0.0
736.35,736.0,0.0,0.0
735.93,736.0,0.0,0.0
736.13,735.99,0.0,0.0
735.6,735.98,0.0,0.0
735.58,735.98,0.0,0.0
736.04,735.97,0.0,0.0
737.2,735.96,0.0,0.0
734.63,735.95,0.0,0.0
736.25,735.94,0.0,0.0
735.94,735.93,0.0,0.0
737.24,735.91,0.0,0.0
735.64,735.9,0.0,0.0
736.18,735.88,0.0,0.0
734.87,735.86,0.0,0.0
734.35,735.84,0.0,0.0
737.09,735.82,0.0,0.0
736.46,735.8,0.0,0.0
736.23,735.78,0.0,0.0
735.76,735.76,0.0,0.0
734.95,735.74,0.0,0.0
736.52,735.72,0.0,0.0
735.61,735.7,0.0,0.0
735.87,735.68,0.0,0.0
736.08,735.66,0.0,0.0
734.86,735.65,0.0,0.0
734.46,735.64,0.0,0.0
735.44,735.62,0.0,0.0
734.54,735.61,0.0,0.0
735.35,735.6,0.0,0.0
735.2,735.59,0.0,0.0
736.13,735.59,0.0,0.0
735.47,735.58,0.0,0.0
736.76,735.57,0.0,0.0
736.16,735.57,0.0,0.0
735.7,735.56,0.0,0.0
736.25,735.55,0.0,0.0
736.05,735.55,0.0,0.0
734.97,735.54,0.0,0.0
735.99,735.54,0.0,0.0
734.52,735.53,0.0,0.0
735.01,735.53,0.0,0.0
735.36,735.53,0.0,0.0
735.96,735.53,0.0,0.0
735.25,735.53,0.0,0.0
735.29,735.53,0.0,0.0
735.11,735.54,0.0,0.0
735.95,735.54,0.0,0.0
734.97,735.54,0.0,0.0
736.12,735.55,0.0,0.0
735.07,735.55,0.0,0.0
736.18,735.56,0.0,0.0
734.66,735.56,0.0,0.0
735.14,735.57,0.0,0.0
735.56,735.58,0.0,0.0
734.97,735.59,0.0,0.0
736.81,735.59,0.0,0.0
736.32,735.59,0.0,0.0
736.71,735.6,0.0,0.0
736.54,735.59,0.0,0.0
735.24,735.59,0.0,0.0
735.77,735.58,0.0,0.0
736.02,735.57,0.0,0.0
734.34,735.55,0.0,0.0
734.55,735.54,0.0,0.0
736.09,735.53,0.0,0.0
734.85,735.51,0.0,0.0
736.11,735.5,0.0,0.0
735.13,735.48,0.0,0.0
735.61,735.47,0.0,0.0
735.17,735.45,0.0,0.0
735.53,735.44,0.0,0.0
735.01,735.43,0.0,0.0
735.62,735.43,0.0,0.0
735.21,735.43,0.0,0.0
735.05,735.43,0.0,0.0
734.83,735.43,0.0,0.0
735.83,735.44,0.0,0.0
735.26,735.45,0.0,0.0
736.02,735.47,0.0,0.0
735.46,735.48,0.0,0.0
735.76,735.49,0.0,0.0
735.34,735.51,0.0,0.0
735.99,735.52,0.0,0.0
735.37,735.52,0.0,0.0
735.2,735.53,0.0,0.0
735.47,735.52,0.0,0.0
734.94,735.52,0.0,0.0
735.69,735.51,0.0,0.0
737.1,735.5,0.0,0.0
735.84,735.49,0.0,0.0
